Name	Zone Name	Level	HP	Race	Class	Position(s)
Tazgar	Temple of Solusek Ro	44	8962	Efreeti	Warrior	(500,7)
Te`Anara	Surefall Glade	50 - 61	27250 - 32403	Human	GM Druid	(-208,-440)
Tearon Bleanix	High Keep	30	1215	Skeleton	Paladin	(-18,-295)
Tegea Prendyn	Ocean of Tears	25	810	Wood Elf	Warrior	(261,-9191)
Teir`Dal Elite	Lesser Faydark	30	1725	Dark Elf	Warrior	(-911,1166)
Teir`Dal Prophet	Lesser Faydark	30	1408	Dark Elf	Cleric	(-896,1138)
Tektite	The Overthere	50	20250	Gargoyle	Warrior	(2361,2431)
Telan Buvare	Paineel	13	330	Erudite	Shadow Knight	(782,693)
Telor Beteria	Erudin Palace	35	1675	Citizen, Erudin	Shopkeeper	(703,804)
Telvina	Halas	45	5895	Citizen, Halas	Shopkeeper	(312,444)
Tempia Lauley	North Kaladim	38	2601 - 2744	Citizen, Kaladim	Shopkeeper	(1314,107)
Tempus	Guk	24 - 26	426 - 466	Dark Elf	Necromancer	(740,-41)
Tenni Kohern	East Freeport	47	7219	Citizen, Qeynos	Shopkeeper	(-222,-885)
Tenralus Brackmar	Paineel	50	9550	Erudite	Shopkeeper	(1225,523)
Tenso H`Rugla	Neriak - Commons	40	3250	Citizen, Neriak	Shopkeeper	(-152,-1041)
tentacle terror, a	Estate of Unrest	29 - 33	1131 - 1211	Tentacle	Warrior	(481,82), (496,119), (572,70)
Tentacle Terror	Najena	20 - 22	610 - 650	Tentacle	Warrior	(-36,-159), (8,413)
tentacle tormentor, a	Plane of Fear	48 - 52	14285 - 14365	Tentacle	Warrior	(50,616), (52,654), (905,388), (50,732)
Tentus Brackmar	Paineel	50	9550	Erudite	Shopkeeper	(996,807)
Tergon Brenclog	Ak'Anon	44 - 61	5266 - 32000	Gnome	GM Magician	(1082,-1033)
Teria Finleather	Erudin	45	5875	Erudite	Shopkeeper	(-955,-97)
Teria O`Danos	Halas	30	1150	Citizen, Halas	Shopkeeper	(-5,-32)
Terren Starwatcher	Northern Felwithe	40	3250	High Elf	Shopkeeper	(15,-426)
Terri Woodshape	Northern Felwithe	40	3250	High Elf	Shopkeeper	(0,-456)
Terror	Plane of Fear	52	16971	Golem	Warrior	(199,-364)
Terrorantula	Southern Desert of Ro	37	3500	Spider, Giant	Warrior	(661,133)
Tesch Mal Gnoll, a	Lair of the Splitpaw	29 - 33	1330 - 1641	Gnoll	Warrior	(508,-90), (1096,-119), (637,83), (1081,-48), (1004,-59)
Tesch Mas Gnoll, a	Lair of the Splitpaw	25 - 29	980 - 1170	Gnoll	Warrior	(989,-126), (866,-224), (1255,-58), (884,-70), (937,-61)
Tesch Mas Gnoll, a	Southern Plains of Karana	25 - 29	980 - 1170	Gnoll	Warrior	(-3490,574), (-3479,585), (-3582,840), (-3227,602), (-3216,613)
Tesch Val Deval`Nmak	Lair of the Splitpaw	39	3668	Gnoll	Warrior	(1445,93)
Tesch Val Gnoll, a	Lair of the Splitpaw	33 - 35	1980 - 2188	Gnoll	Warrior	(423,-91), (1429,139), (1339,112)
Tesch Val Kadvem	Lair of the Splitpaw	39	3500	Gnoll	Warrior	(405,-153)
Thadres Thyme	Halas	5	100	Human	Rogue	(105,-201)
Thalik Silenthand	Plane of Sky	55	32000	Efreeti	Warrior	(1380,564)
Thalith Mamluk	Kerra Isle	14	293	Kerra	Monk	(-174,106)
Thar Kelgand	Butcherblock Mountains	35	1675	Dwarf	Warrior	(914,2973)
Tharma Jaremi	West Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(108,-756)
thaumaturgist, the	Befallen	18 - 19	289 - 309	Erudite	Necromancer	(-485,86)
Thekela Meepup	Rivervale	41 - 61	3873 - 32344	Halfling	GM Cleric	(-251,-332)
Thena Lonnes	West Freeport	35	1296	Human	Monk	(-170,-822)
Theron Rolius	North Freeport	42 - 61	4374 - 32250	Human	GM Paladin	(239,-141)
Thetherthag Wakintrob	Steamfont Mountains	7 - 9	170 - 210	Gnome	Warrior	(1526,-2221)
thick boned skeleton	Kurn's Tower	16	450	Iksar Skeleton	Warrior	(140,59)
thistle snake, a	Toxxulia Forest	1	16	Snake, Giant	Warrior	(1568,-432)
Thistle Underbrush	Lesser Faydark	25	810	Brownie	Druid	(1352,-786)
Tholia Fastbond	Rathe Mountains	50	14575	Wood Elf	Druid	(5177,1897)
Tholius Quey	North Freeport	50 - 61	27250 - 32344	Human	GM Cleric	(140,351)
Thomas	Rathe Mountains	50 - 61	27200 - 32250	Human	GM Paladin	(2939,-828)
thorny succulant, a	The Overthere	29 - 33	1131 - 1211	167	Warrior	(-3376,-2085), (-1686,3557), (-3092,-828), (-1294,3363), (-2357,2338)
thought bleeder, a	Lavastorm Mountains	4	16	Eye of Zomm	Warrior	(-781,-366)
thought bleeder, a	Plane of Fear	45	5875	Eye of Zomm	Warrior	(-525,263)
thought corruptor, a	Castle Mistmoore	31 - 33	659 - 699	Vampire, Elf	Wizard	(-183,30), (-172,90), (-253,342)
thought defiler, a	Castle Mistmoore	33 - 35	797 - 837	Vampire, Elf	Wizard	(-82,279), (-240,376), (-169,99)
thought spoiler, a	Castle Mistmoore	29 - 31	612 - 652	Vampire, Elf	Wizard	(23,86), (-147,83), (-89,40)
Thrack	Neriak - Foreign Quarter	40	3250	Ogre	Shopkeeper	(-291,-455)
thug, a	Qeynos Aqueduct System	8	180	Human	Rogue	(483,-165)
Thumper	Kithicor Woods	35	1675	Bear	Warrior	(-569,1931)
Thumpy	Qeynos Aqueduct System	9	220	Dwarf	Warrior	(733,108)
thunder spirit princess, a	Plane of Sky	53	20000	Fairy	Bard	(1372,609)
thunder spirit, a	Plane of Sky	50	14325	Fairy	Bard	(1357,386)
Thurion Desius	North Freeport	39 - 61	2955 - 32250	Human	GM Paladin	(132,393)
Thuzin Kaver	East Freeport	34 - 61	1736 - 32344	Human	GM Necromancer	(-39,-188)
Tiam Khonsir	Erudin	32 - 61	1412 - 32344	Erudite	GM Paladin	(-1122,-417)
Tibrinn Ember	Rathe Mountains	45	9002	Halfling	Druid	(5251,1637)
Ticar Lorestring	Erudin	25	810	Half-Elf	Bard	(-627,-227)
tiger, a	Ak'Anon	9	210	Tiger	Warrior	(1247,-800)
tiger, a	Kerra Isle	15 - 17	450 - 490	Tiger	Warrior	(888,246)
Tika Shockstep	Erudin Palace	45	5875	Erudite	Shopkeeper	(917,721)
Timtok Tonsmith	West Commonlands	29 - 31	1130 - 1170	Dwarf	Warrior	(-165,493)
Timvu	Qeynos Aqueduct System	35	1800	Human	Rogue	(702,71)
Tin Banker I	The Overthere	40	3250	Clockwork Gnome	Banker	(2628,2157)
Tin Banker II	The Overthere	40	3250	Clockwork Gnome	Banker	(2642,2168)
Tin Merchant I	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2733,2582)
Tin Merchant II	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2694,2583)
Tin Merchant III	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2678,2565)
Tin Merchant IV	The Overthere	40	3500	Clockwork Gnome	Shopkeeper	(2647,2525)
Tin Merchant IX	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2658,2615)
Tin Merchant V	The Overthere	40	3500	Clockwork Gnome	Shopkeeper	(2612,2527)
Tin Merchant VI	The Overthere	40	3500	Clockwork Gnome	Shopkeeper	(2614,2557)
Tin Merchant VII	The Overthere	40	3500	Clockwork Gnome	Shopkeeper	(2617,2587)
Tin Merchant VIII	The Overthere	40	3250 - 3500	Clockwork Gnome	Shopkeeper	(2615,2616)
Tin Merchant X	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2697,2620)
Tin Merchant XI	The Overthere	40	3250	Clockwork Gnome	Shopkeeper	(2663,2548)
Tindo Frugrin	Steamfont Mountains	30	627	Gnome	Wizard	(1871,-278)
Tinshen Brinth	South Qeynos	47 - 61	7219 - 32000	Human	GM Magician	(301,-624)
Tiny Miller	Western Plains of Karana	37	2179	Ogre	Warrior	(-3813,-5373)
Tipa Lighten	Misty Thicket	30	1150	Citizen, Rivervale	Shopkeeper	(581,-2201)
Tira Sandfisher	Northern Desert of Ro	45	5875	Barbarian	Shopkeeper	(2294,-789)
Tirziz	Oasis of Marr	50	15417	Giant/Cyclops	Warrior	(1730,-794)
Tisiana	Lavastorm Mountains	45	5875	Citizen, Qeynos	Shopkeeper	(982,1367)
Tislan	East Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(134,-297)
Tissin Greybloom	North Kaladim	38 - 42	3210 - 3290	Dwarf	Shopkeeper	(693,-162)
Tizina	Lavastorm Mountains	30	627	Citizen, Qeynos	Enchanter	(-327,939)
Tizzy C`Luzz	Neriak - Commons	40	3250	Dark Elf	Shopkeeper	(175,-910)
Tkaz H`Rugla	Neriak - Commons	40	3250	Citizen, Neriak	Shopkeeper	(162,-969)
Tlin Bowfright	East Freeport	30	1150	Wood Elf	Warrior	(-235,-854)
Toala Nehron	West Freeport	37 - 61	2179 - 32000	Human	GM Warrior	(-246,-192)
Tobon Starpyre	Ak'Anon	50 - 61	27000 - 32000	Gnome	GM Wizard	(1049,-989)
Toelia Snuckery	Rivervale	37 - 61	2179 - 32000	Halfling	GM Rogue	(-27,-197)
Togahn Sorast	North Qeynos	42 - 61	4178 - 32004	Human	GM Monk	(290,393), (300,343)
Tohsan Hallard	East Freeport	45	5875	Guard, Freeport	Shopkeeper	(-85,-456)
Toilmaster, The	Cabilis East	40	3250 - 3500	Citizen, Iksar	Warrior	(889,-79), (825,-33)
Toko Binlittle	Ocean of Tears	15 - 17	430 - 470	Gnome	Magician	(732,-5445)
Tokun	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(347,-397)
Tokun	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(634,1096)
Tol Nicelot	Erudin	20	630	Erudite	Paladin	(-1093,-213)
Tol Nicelot	Qeynos Hills	20	610	Erudite	Paladin	(1491,-2160)
Tolis Fearnone	Northern Felwithe	40	3250	High Elf	Shopkeeper	(-104,-338)
Tolkar Parlone	Northern Felwithe	35	1675	High Elf	Enchanter	(-63,-690)
Tollari Mistell	Erudin	24	770	Citizen, Erudin	Shopkeeper	(-1068,-257)
Tolo	Erud's Crossing	13	370	Kerra	Warrior	(-718,780)
Tolony Marle	Western Plains of Karana	5	100	Human	Paladin	(-347,-3966)
Tomas Zelnik	South Qeynos	35	1675	Human	Warrior	(297,-202)
Tomas	Rathe Mountains	18	591	Half-Elf	Paladin	(2830,-824)
Tomer Instogle	North Qeynos	1	12	Human	Monk	(907,725)
Ton Firepride	South Qeynos	30	1150	Citizen, Qeynos	Shopkeeper	(173,-326)
Ton Twostring	North Freeport	25	810	Human	Bard	(-76,580)
Tonmerk Plorsin	North Qeynos	37 - 61	2379 - 32344	Human	GM Cleric	(-155,-692)
Tonsia	Surefall Glade	45	5875	Human	Shopkeeper	(125,-110)
Topala Xenem	South Qeynos	45	5875	Citizen, Qeynos	Shopkeeper	(544,-138)
Topper Drodo	Misty Thicket	30	1150	Citizen, Rivervale	Shopkeeper	(585,-2356)
Toralia	Halas	45	5895	Citizen, Halas	Shopkeeper	(340,480)
Toresian Fhabel	Erudin Palace	32 - 61	1234 - 32000	Erudite	GM Enchanter	(727,805)
Torgon Blademaster	Plane of Sky	55	32000	Efreeti	Warrior	(1400,564)
Torlig Mudel	West Freeport	45	5875	Guard, Freeport	Shopkeeper	(82,-916)
tormented corporal	Kithicor Woods	30	782	Skeleton	Necromancer	(1476,3949)
tormented dead	Estate of Unrest	10 - 14	260 - 340	Zombie	Warrior	(550,-278), (442,-42), (648,-144), (761,-94), (784,-129)
Tormented Soul	Paineel	50	10505	Ghost, Erudite	Necromancer	(734,824)
Torodrane Frompwaddle	Steamfont Mountains	30	1150	Gnome	Shopkeeper	(-1601,-1840)
Torth Largefoot	Rivervale	45	5875	Citizen, Rivervale	Shopkeeper	(-29,-383)
Tortuk Everhott	North Kaladim	38 - 42	3210 - 3290	Citizen, Kaladim	Shopkeeper	(350,-205)
tortured healer	Kithicor Woods	29 - 31	930 - 972	Ghoul	Cleric	(1737,-192), (1422,344), (1420,-682)
tottering ape, a	The Emerald Jungle	28 - 29	1110 - 1130	Gorilla	Warrior	(2042,2857), (3342,3401)
tottering gorilla, a	The Burning Wood	37 - 41	2811 - 2891	Gorilla	Warrior	(1559,-1708), (2055,-2183), (-967,2641), (183,-3083), (-100,390)
tottering gorilla, a	The Emerald Jungle	37 - 41	2811 - 2891	Gorilla	Warrior	(-2611,1802), (-1346,939), (-2122,-1833), (-2186,-1994), (558,1846)
Tourmaline	The Overthere	50	20250	Gargoyle	Warrior	(2105,2397)
Tovax Vmar	Qeynos Hills	10	131	Human	Necromancer	(1417,219)
Toxdil	West Freeport	40	2511	Dark Elf	Shopkeeper	(1042,-95)
TOXHighGuardEmissary	Toxxulia Forest	20 - 22	630 - 670	Erudite	Warrior	(635,720), (1747,712), (621,766)
Tracker Azeal	Firiona Vie	45	30200 - 30248	Wood Elf	Ranger	(-2827,2268)
Tradesman Lyna	North Freeport	45	5875	Citizen, Qeynos	Shopkeeper	(-102,191)
Tradesman Tulan	North Freeport	45	5875	Guard, Freeport	Shopkeeper	(-130,209)
trakanasaur, a	The Emerald Jungle	31 - 35	1299 - 1379	Iksar Hand	Warrior	(3744,3238), (3397,3316), (1217,3877), (3318,3838)
trakanasaur, a	Trakanon's Teeth	31 - 34	1299 - 1359	Iksar Hand	Warrior	(3153,2346), (1722,3042), (2367,4701), (2276,4685)
Trakanon	Ruins of Sebilis	65	32000	Trakenon	Necromancer	(-1986,-624)
trakaraptor, a	The Emerald Jungle	36 - 40	2454 - 2534	Iksar Hand	Warrior	(-1594,414), (-770,-529), (-947,-2332), (616,739), (-2859,1112)
trakaraptor, a	Trakanon's Teeth	36 - 40	2454 - 2534	Iksar Hand	Warrior	(-1825,1946), (-1779,2378), (-1682,375), (-2147,1546), (-1607,-297)
Tralinda	Lake Rathetear	14 - 16	390 - 430	Barbarian	Warrior	(779,2196)
Tralyn Marsinger	South Qeynos	25	810	Human	Bard	(519,-123)
Tran Lilspin	Toxxulia Forest	26	860	Citizen, Erudin	Shopkeeper	(1761,-735)
Tran	Oasis of Marr	35	1675	Citizen, Qeynos	Shopkeeper	(542,-42)
Trancil Clearpond	West Freeport	35	1675	Human	Warrior	(-233,-236)
Trankia	Everfrost	47 - 49	7934 - 7974	Barbarian	Rogue	(943,-1841), (3031,-2380)
Transan	Oasis of Marr	35	1675	Citizen, Qeynos	Shopkeeper	(613,51)
Trantor Everhot	North Kaladim	35	1675	Citizen, Kaladim	Warrior	(452,-143)
Travis Two Tone	Nektulos Forest	25	810	Human	Bard	(-2230,-306)
treant, a	Northern Plains of Karana	23 - 27	589 - 669	Treant	Druid	(-2738,-1426), (-2698,-1475), (-2754,-1513)
treant, a	Southern Plains of Karana	23 - 27	512 - 592	Treant	Druid	(1595,-3681), (1532,-3683)
treant, a	Western Plains of Karana	24 - 26	552 - 606	Treant	Druid	(975,-8630)
Treasurer Lynn	High Keep	30	1150	Citizen, Qeynos	Shopkeeper	(-69,-374)
tree snake, a	Kithicor Woods	4 - 6	80 - 120	Snake, Giant	Warrior	(1733,2484), (1904,2830), (1294,-62)
tree snake, a	Misty Thicket	4 - 6	80 - 120	Snake, Giant	Warrior	(562,6), (763,876), (489,584)
tree snake, a	Nektulos Forest	4 - 6	80 - 120	Snake, Giant	Warrior	(407,305), (-111,289), (576,777)
tree snake, a	Southern Desert of Ro	4 - 6	80 - 120	Snake, Giant	Warrior	(-2712,-170), (-1157,-436), (-2274,141)
tree snake, a	The Feerrott	4 - 6	80 - 120	Snake, Giant	Warrior	(-685,2490), (-1427,2667), (-861,1230)
Trenon Callust	Qeynos Aqueduct System	47 - 61	7339 - 32120	Human	GM Wizard	(319,-353)
Trepo Merrop	West Freeport	45	5875	Guard, Freeport	Shopkeeper	(136,-762)
Treskar	Grobb	41 - 61	3691 - 32000	Troll	GM ShadowKnight	(485,-906)
Trilani Parlone	Erudin Palace	45	5875	High Elf	Enchanter	(531,722)
Trisco Qental	South Qeynos	45	5875	Human	Shopkeeper	(300,-665)
Trissa Whistlesong	West Freeport	15	280	Half-Elf	Bard	(-106,-429)
Trizam N`Tan	Neriak - Commons	39	2851	Dark Elf	GM Warrior	(-20,-1142)
troll prisoner, a	Guk	9 - 11	220 - 260	Troll	Warrior	(353,-153), (245,-92)
troll slayer, a	Innothule Swamp	7 - 11	170 - 260	Troll	Warrior	(1214,-420), (-122,-525), (1138,-508), (-1748,-201), (-1944,-532), (-2108,-321)
Trolon Lightleer	East Freeport	15	280	Human	Bard	(-230,-872)
Trooper Agash	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-2393,-613)
Trooper Azalin	Cabilis East	50	30000	Citizen, Iksar	Warrior	(677,37)
Trooper Begzei	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(1211,-427)
Trooper Byzin	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(1143,-469)
Trooper Chikzik	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2545,3130)
Trooper Curlish	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(5957,-6287)
Trooper Dagnav	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-343,345)
Trooper Digdul	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6371,-6622)
Trooper Eglo	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(653,1170)
Trooper Egrephit	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(138,885)
Trooper Eshzik	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6308,-6231)
Trooper Feglesh	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(22,-288), (23,-277)
Trooper Frogzin	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6333,-6657)
Trooper Fryp	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(-226,-87)
Trooper Gegren	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(134,681)
Trooper Gepwyz	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-1681,-836)
Trooper Googin	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(1169,-471)
Trooper Grouko	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2606,3523)
Trooper Gryfkyz	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-765,614)
Trooper Gummin	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2197,3187)
Trooper Harkee	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2571,3029)
Trooper Harpin	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2300,3312)
Trooper Hegwez	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(5940,-6594)
Trooper Hylpik	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(137,750)
Trooper Iggmin	Cabilis East	50	30000	Citizen, Iksar	Warrior	(-647,-135)
Trooper Inkin	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2996,3055)
Trooper Ishlin	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(-73,-452)
Trooper Keat	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2709,3162), (2699,3157)
Trooper Keplar	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(-82,-444)
Trooper Kroniz	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-2270,-903)
Trooper Kylpog	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6079,-6417)
Trooper Larrin	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6202,-6101)
Trooper Lorgen	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2442,2922)
Trooper Lunmiz	Warslilks Woods	50	30000	Citizen, Iksar	Warrior	(-2003,-980)
Trooper Melzok	Warslilks Woods	50	30000	Citizen, Iksar	Warrior	(-1484,-1144)
Trooper Moggoz	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-667,458)
Trooper Mozo	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2558,3566)
Trooper Nagraz	Cabilis East	50	30000	Citizen, Iksar	Warrior	(-648,-114)
Trooper Neozite	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(714,1107)
Trooper Nilzik	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2962,3097)
Trooper Nishnish	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(-102,-479)
Trooper Nodfod	Swamp Of No Hope	50	30000 - 30250	Citizen, Iksar	Warrior	(2769,2815), (2779,2821)
Trooper Ogmire	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-809,590)
Trooper Olon	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-1605,-728)
Trooper Ozlot	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(691,1148)
Trooper Rofylin	Cabilis East	50	30250	Citizen, Iksar	Warrior	(-10,-287)
Trooper Roklon	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-1708,-580)
Trooper Ryzee	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(524,964)
Trooper Selbat	Lake of Ill Omen	50	30000 - 30250	Citizen, Iksar	Warrior	(6202,-6101)
Trooper Shestar	Cabilis East	50	30000 - 30250	Citizen, Iksar	Warrior	(1213,-398)
Trooper Shyzin	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-667,419)
Trooper Syldon	Warslilks Woods	50	30000 - 30250	Citizen, Iksar	Warrior	(-2358,-997)
Trooper Taer	Field of Bone	50	30000 - 30250	Citizen, Iksar	Warrior	(-2218,2257), (-2632,3594)
Trooper Tygar	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(525,956)
Trooper Walrun	Warslilks Woods	50	30000	Citizen, Iksar	Warrior	(-2539,-405)
Trooper Xaxxot	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-835,550)
Trooper Yegmesh	Cabilis West	50	30000 - 30250	Citizen, Iksar	Warrior	(-347,408)
Trooper Zishrin	Cabilis East	50	30000	Citizen, Iksar	Warrior	(674,75)
trout, a	Rivervale	1	16	Fish	Warrior	(227,-268)
Trudo Frugrin	Lesser Faydark	19 - 21	590 - 630	Gnome	Wizard	(1069,-1674)
Trug	Lake Rathetear	35	1695	Ogre	Shaman	(3053,-1784)
Trumpy Irontoe	South Qeynos	5	150	Dwarf	Rogue	(-308,-260)
Trusk	Grobb	40	3250	Citizen, Grobb	Shopkeeper	(517,-633)
Trusk	Oggok	40	3250	Citizen, Oggok	Shopkeeper	(397,4)
Tsaria Jnarus	High Keep	43	2563	Dark Elf	Wizard	(-82,-190)
tsu ghoul wizard, a	Ruins of Old Guk	27 - 31	516 - 596	Froglok Ghoul	Wizard	(1280,-320), (802,-651), (917,-609), (645,-720), (1052,-520)
Tsuden Korinte	South Qeynos	45	5875	Human	Shopkeeper	(324,-594)
Tubal Weaver	North Qeynos	14	380	Citizen, Qeynos	Shopkeeper	(217,94)
Tuballi Stellari	Erudin Palace	24	770	Citizen, Erudin	Shopkeeper	(731,918)
Tukanta	Halas	45	5875	Citizen, Halas	Shopkeeper	(356,423)
Tukk	Western Plains of Karana	5 - 7	110 - 150	Human	Warrior	(-3685,-7675)
Tulonk Shralok	Kithicor Woods	13 - 14	330 - 350	Orc	Warrior	(-589,4094), (106,4247)
Tumpy Irontoe	South Kaladim	42	4174	Dwarf	Shopkeeper	(178,313)
Tundra Jack	Everfrost	47	7219	Barbarian	Warrior	(1076,-2455)
tundra yeti, a	Dreadlands	31 - 35	1299 - 1379	Yeti	Warrior	(2394,4882), (2399,4582), (2452,4639), (2629,4782), (2607,4903)
Turga	Lake Rathetear	25	830	Ogre	Shopkeeper	(3126,-1814)
Turgan	Lake Rathetear	10	240	Citizen, Qeynos	Warrior	(3644,153)
turmoil toad, a	Plane of Fear	48 - 52	14285 - 14365	Froglok Ghoul	Warrior	(225,-221), (-1342,14), (-1063,42), (-237,-170), (103,239)
Twippie Diggs	Rivervale	30	1150	Citizen, Rivervale	Shopkeeper	(-115,-210)
Tyeg Envil	West Freeport	35	1675	Guard, Freeport	Shopkeeper	(-245,-40)
Tykar Renlin	East Freeport	19 - 21	590 - 630	Beggar, Human	Rogue	(-235,-854)
Tylar Windspirit	Northern Felwithe	40	3250	High Elf	Shopkeeper	(7,-255)
Tyle Songwhisper	Northern Felwithe	40	3250	High Elf	Shopkeeper	(76,-367)
Tylfon	Greater Faydark	50 - 61	27000 - 32000	Wood Elf	GM Rogue	(-514,-227)
Tynkale	Northern Felwithe	50	27200	High Elf	GM Paladin	(11,-327)
Tyokan Mekase	North Qeynos	25	810	Citizen, Qeynos	Shopkeeper	(-160,-145)
Tyrana Slil	High Keep	32	1191 - 1211	Dark Elf	Necromancer	(26,-298), (7,-288)
Tyrena Monosty	Erudin Palace	45	5875	Erudite	Banker	(726,856)
Tyrin F`Linz	The Overthere	40	3270	Dark Elf	Shopkeeper	(2814,2406)
Tyrsa Henic	West Freeport	35	1675	Human	Magician	(-9,-582)
Uawn Betell	Neriak - Foreign Quarter	40	3250	Dwarf	Shopkeeper	(257,-232)
Ubarsti Respelti	Toxxulia Forest	35	1675	Erudite	Shopkeeper	(1177,-821)
Uglan	Neriak - Foreign Quarter	50	9550	Ogre	Warrior	(-368,-309)
Ukla	Rathe Mountains	40	3250	Troll	Shopkeeper	(1732,1289)
Ulan Meadowgreen	Southern Plains of Karana	29 - 31	1130 - 1170	Centaur	Shopkeeper	(126,-2176)
Uleen Laughingwater	Greater Faydark	40	3500 - 3653	Guard, Faydark	Shopkeeper	(-639,240)
Ulrich McMannus	Western Plains of Karana	30	1150	Barbarian	Warrior	(-3537,-2108)
Umvera Dekash	North Qeynos	50	9550	Erudite	Enchanter	(36,365)
undead advisor	Kithicor Woods	29 - 31	1314 - 1477	Zombie	Shadow Knight	(547,1372), (-486,2646), (141,1824)
undead barkeep, an	Estate of Unrest	25	810	Zombie	Rogue	(668,-38)
undead bishop, an	Butcherblock Mountains	9 - 11	220 - 260	Skeleton	Necromancer	(847,-2279), (789,-2368)
undead blacksmith, an	Dalnir	26	830	Iksar Skeleton	Warrior	(-45,-694)
undead cleric	Kithicor Woods	32 - 34	1059 - 1099	Ghoul	Cleric	(1455,-381), (1176,343), (1192,2138)
undead crusader	Kurn's Tower	13 - 15	360 - 400	Iksar Skeleton	Warrior	(-50,-218), (28,-219)
undead cyclops, an	Southern Plains of Karana	31 - 33	1214 - 1254	Skeleton	Warrior	(-3800,3196), (-6543,-587)
undead foreman, an	The Overthere	50	9550	Iksar Skeleton	Warrior	(2388,3308)
undead herald, an	The Overthere	29 - 33	1131 - 1211	Iksar Skeleton	Warrior	(3345,2710)
undead jailer	Karnor's Castle	50 - 51	9550 - 9570	Raptor	Warrior	(147,-518), (97,-618)
undead keeper	Trakanon's Teeth	36 - 40	2454 - 2534	Iksar Skeleton	Necromancer	(-1386,-439), (-2101,56), (-1314,327), (-1240,362), (-1116,570)
undead king, an	Butcherblock Mountains	15	240	Skeleton	Wizard	(853,-2224)
undead knight of Unrest, an	Estate of Unrest	28	874	Skeleton	Shadow Knight	(697,-75)
undead knight, an	Butcherblock Mountains	9 - 11	220 - 260	Skeleton	Shadow Knight	(945,-2283), (853,-2224), (944,-2417)
undead knight, an	Castle Mistmoore	40	3250	Skeleton	Warrior	(-36,366)
